message,subquestion_focus,subquestion_type,answer
12 years ago i was bitten by tick while deer hunting the bite area contained the ring as described in lyme disease symptoms i was treated with antibiotics however ever since that time i have many of the symptoms cited for lyme also usually prior to and during these symptoms i have reddishpink welt appear at the site of the bite on my groin can you offer any enlightment on my condition,Lyme Disease,Information,"Lyme disease tests are used to determine if a person with characteristic symptoms has been infected by Borrelia burgdorferi. If the doctor suspects a recent infection, then she may order both an IgM and IgG antibody blood test. If they are negative but symptoms persist, then the tests may be ordered again a few weeks later…Lyme disease can sometimes be challenging to diagnose"
my sons middle toe turned white after being in his dorm for few hours without heat we were wondering why all his toes did not change colors,Raynauds Syndrome,Symptom,Only one finger or toe or parts of one or more may be affected.
hello i burnt my wrist 2 days ago and after last night ive woken up with swollen had its really noticeable to other people but i ca feel the skin gone tight when i put it against the other hand you can see its bigger what should i do about this,burn,Treatment,"Before giving first aid, it is important to determine what type of burn the person has. If you aren't sure, treat it as a major burn. Serious burns need immediate medical care. Call your local emergency number or 911."
i am having parkinson for last 8 years so far it was only some shaking my right handnow it is on increase i am 84 and having skin problemi am scared of increasing dosage as it seems to possibly affect skin problem pls suggest any care i need to takei would be grateful for your kind advise,Parkinson,Treatment,"you should know that people who have Parkinson's disease have a higher risk of melanoma (a type of skin cancer) than people who do not have Parkinson's disease. It is not known whether this increased risk is caused by Parkinson's disease, medications used for Parkinson's disease such as rasagiline, or other factors. You should have regular visits with a dermatologist to examine your skin for melanoma"
question in laymen terms any genetic or other correlation ever been made between these two diagnosis my 59 sister diagnosis of periventricular heterotopia her 30 daughter been suffering with same for last 15 years her 37 daughter is clinically fullcare retarded since infancy and severe idiopathic scoliosis i have severe idiopathic scoliosis i use the term severe to express debilitating and multiple fusion surgeries all four of my generation female siblings have level of scoliosis fyi this ph sister died last week her remains are at the university of rochester,Periventricular Heterotopia/ Scoliosis,information,Isolated lissencephaly sequence (ILS) is a condition that affects brain development before birth. Children with ILS often develop muscle stiffness (spasticity) in their arms and legs and an abnormal side-to-side curvature of the spine (scoliosis).
what is the lattest research on using dlimonene as treatment for cancer particullary skin cancer,skin cancer,Treatment,Treatment options depend on the following:  The stage of the cancer (whether it has spread deeper into the skin or to other places in the body). The type of cancer. The size of the tumor and what part of the body it affects. The patient’s general health.
hello im writing from mauritius and my name is ms doriana member of my family swallowed poison which is name caustic soda is actually in the hospital suffering lot is there any suggestion please to help him to be better or to relieve his pain,swallowed a poison which is name caustic soda,Treatment,Treatment depends on how the poisoning occurred. You will be given pain medicine.
kindly explain the general effects of smoking or rather the effects of nicotine to digestion and arbsoption,smoking,Complication,"What are the other harmful effects of smoking on the digestive system? Smoking contributes to many common disorders of the digestive system, such as heartburn and gastroesophageal reflux disease (GERD), peptic ulcers, and some liver diseases. Smoking increases the risk of Crohn's disease, colon polyps, and pancreatitis, and it may increase the risk of gallstones."
i had full hysterectomy in 2006 do i still need to have pap smear,pap smear/full hysterectomy,Indication,I’ve had a hysterectomy. Do I still need to have Pap tests? Maybe. You will still need regular Pap tests (or Pap smear) to screen for cervical cancer if you:  Did not have your cervix removed Had a hysterectomy because of cancer or precancer Ask your doctor what is best for you and how often you should have Pap tests.
i have dy lumbar puncture that shows two chambers dye did not go further then l4l5 i have sixth lumbar upper back deformed spinal cord hematoma on t12 disk between t2t3 i have bladder and loss of feeling in right leg i have full medical benifits as an incapacitated child from the military either my new base doctor is unfamiliar with my condition or refuses to acknowledge my problems i told him i have digestive issues and needed my usual meds treated like it was due to other meds i get treated so unfairly and badly because i am so young and do t fit the worst form of spina bifida to top it off now they lost all my child hood care records and this is leaving defending myself against military doctors when all the tests i can think of have been do again mri shows bone birth defects but the dual spinal chambers was shown in dye lumbar puncture is there sure fire test they can do that will shut them up an say yep this is what it is,Spina bifida,Diagnosis,"How is it diagnosed?  In most cases, spina bifida is diagnosed prenatally, or before birth.  However, some mild cases may go unnoticed until after birth (postnatal).  Very mild forms (spinal bifida occulta), in which there are no symptoms, may never be detected. Postnatal Diagnosis  Mild cases of spina bifida (occulta, closed) not diagnosed during prenatal testing may be detected postnatally by plain film X-ray examination.  Individuals with the more severe forms of spina bifida often have muscle weakness in their feet, hips, and legs that result in deformities that may be present at birth.  Doctors may use magnetic resonance imaging (MRI) or a computed tomography (CT) scan to get a clearer view of the spinal cord and vertebrae.  If hydrocephalus is suspected, the doctor may request a CT scan and/or X-ray of the skull to look for extra cerebrospinal fluid inside the brain."
i have been diagnosed with sca3 i was wondering if medlineplus is able to help with resources that i may need on my journey through this disease if not can you help find an organization or association that can help,SCA3,Organization,Spinocerebellar ataxia type 3 (often shortened to SCA3) On this page: Description Genetic changes Inheritance Diagnosis Additional information Other names Glossary definitions
what should i do if i have cold sore and treatments i use,cold sore,Treatment,"There is no cure for cold sores. Medicines can relieve some of the pain and discomfort associated with the sores. These include ointments that numb the blisters, antibiotics that control secondary bacterial infections, and ointments that soften the crusts of the sores."
hi my name is miranda ramirez im currently working with friends community center in hollywood california and i was wondering i came across some of you healthy tip fliers for hivaids treatment at the moment we have study going on that helps hiv positive transgender women into hiv quality care so it would be great to have some more information on hivaids treatment,HIV/Aids,Treatment,"There is no cure, but there are many medicines to fight both HIV infection and the infections and cancers that come with it. People can live with the disease for many years."
i work at the airport and i am in contact with hundreds of people day i want to be sure that i am not going to expose people to shingles when is it safe for to go back to work,shingles,Susceptibility,"You can't catch shingles from someone who has it. However, if you have a shingles rash, you can pass the virus to someone who has never had chickenpox. This would usually be a child, who could get chickenpox instead of shingles. The virus spreads through direct contact with the rash, and cannot spread through the air."
i was diagnosed with sleep apnea prolly had it for 5 years and i have swelling issues caused from that it been ruled out from everything else so the doctor thinks i just got my cpap machine i was wondering how long will it take for the swelling to go away thank you,sleep apnea,Susceptibility,"Other problems that may occur include:  Depression Hyperactive behavior, especially in children Difficult to treat high blood pressure Leg swelling (if severe)"
how can i get information on cronic lymphocytice leukemia sent to thru medlinkplus or which way you will send them,Chronic lymphocytic leukemia,Information,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In chronic lymphocytic leukemia (CLL), there are too many lymphocytes, a type of white blood cell."
dear sirmadam i am writing you on behalf of madam saavedra who is very stress and with lot of tensionlooking for help for her daughter mariagracia mariagracia complex hearth defect called tetralogy of fallot she is about 7 months old and her family dont have resources to cover her treatment in order to get her welfare madam saavedra very low income lives in rented room with her husband and her two children in lima peru she works at national hospital cayetano heredia and she been taking her daughter to children hospital in lima but she cant afford the medicines and treatment that they ask for she is looking desperately for help for her daughter i was wondering if you guys have any contact here in lima of any organization who can help madam saavedra i have been looking but cant find or never not came back to when i asked them if you please know about any organization who can help us here in lima peru i will really appreciate and we can make help to give mariagracia better life i am health and social care worker and work at the hospital too with the employees thank you very much for your time karina montes kmontes44242hotmailcom,Tetralogy of Fallot,Organization,Medlife USA: Email:    info@medlifeweb.org   Telephone:    (USA) 1-844-MEDLIFE              1-844-633-5433   Office Hours:   9 AM - 5 PM CST   Fax:    207-433-5304
can older infants get jaundice what is the age range,jaundice,Susceptibility,"Many healthy babies have some jaundice during the first week of life. It usually goes away. However, jaundice can happen at any age and may be a sign of a problem. Jaundice can happen for many reasons, such as…"
hello dear dr i am an afghan student in ukm university in malaysia the mouth ulcer problem is the worst problem in my lifetime even three or four times the ulcer grow up in the mouth during of month even i can not eat or drink even though i take care of my mouth every day so i wish you to consult about of removing of these ulcer forever thank you so much,ulcer,Treatment,"Canker sores aren't contagious. They may happen if you have a viral infection. They may also be triggered by stress, food allergies, lack of vitamins and minerals, hormonal changes or menstrual periods. In some cases the cause is unknown.  In most cases, the sores go away by themselves. Some ointments, creams or rinses may help with the pain. Avoiding hot, spicy food while you have a canker sore also helps."
can arachnoid cysts cause paini have shuntfrom2007how oftendo they need changed,Arachnoid cysts,Symptom,"Typical symptoms of an arachnoid cyst around the brain include headache, nausea and vomiting, seizures, hearing and visual disturbances, vertigo, and difficulties with balance and walking. Arachnoid cysts around the spinal cord compress the spinal cord or nerve roots and cause symptoms such as progressive back and leg pain and tingling or numbness in the legs or arms."
are large inoperable schwannomas treatable or able to be shrunk with chemotherapy or radiation,schwannomas,Treatment,"How is a vestibular schwannoma treated?s the tumor grows larger, surgical removal is more complicated because the tumor may have damaged the nerves that control facial movement, hearing, and balance and may also have affected other nerves and structures of the brain.  The removal of tumors affecting the hearing, balance, or facial nerves can make the patient’s symptoms worse because sections of these nerves may also need to be removed with the tumor.  As an alternative to conventional surgical techniques, radiosurgery (that is, radiation therapy—the ""gamma knife"" or LINAC) may be used to reduce the size or limit the growth of the tumor."
i want more information on hypertension and fibromyalgia i seem to be getting only topics on diabetes and i do not have this i enjoy reading the current info thanks cassie caldera,Hypertension,Information,"Ordinarily, in healthy, pain-free people, the higher their blood pressure, the less sensitive they are to pain. For some, this can present a problem because they do not sense the chest pain that could be the early warning sign of an impending heart attack. When chronic pain enters the picture, the systems that control pain and blood pressure work so poorly that an increase in blood pressure no longer leads to a reduction in pain sensitivity. The end result is that chronic pain places you at a higher risk for elevated blood pressure (hypertension)."
